name,children,size
ARRB2,"OPRD1	1",0.1
ARRB2,"OXTR	1",0.1
ARRB2,"PTAFR	1",0.1
ARRB2,"AVPR2	1",0.1
ARRB2,"RALGDS	1",0.1
ARRB2,"MAP3K5	1",0.1
ARRB2,"CYTH2	1",0.1
ARRB2,"MAPK10	1",0.1
ARRB2,"NTS	1",0.1
ARRB2,"TRH	1",0.1
ARSF,"SNRNP70	1",0.1
ART1,"PDGFB	1",0.1
ATF3,"JUN	1",0.1
ATF3,"JUND	1",0.1
ATF4,"JUN	1",0.1
ATF4,"CEBPB	1",0.1
ATF4,"GTF2F2	1",0.1
ATM,"RAD51	1",0.1
ATM,"E2F1	1",0.1
ATN1,"PSMA3	1",0.1
ATN1,"GIGYF1	1",0.1
ATN1,"SIAH1	1",0.1
ATN1,"SIAH2	1",0.1
ATN1,"SLIT1	1",0.1
ATN1,"TEP1	1",0.1
ATN1,"TRIP6	1",0.1
ATN1,"PRRC2A	1",0.1
ATN1,"BAG6	1",0.1
ATN1,"GCC1	1",0.1
ATN1,"ALG13	1",0.1
ATN1,"KAT6A	1",0.1
ATN1,"RBM10	1",0.1
ATN1,"KRTAP4-12	1",0.1
ATN1,"LTBP4	1",0.1
ATN1,"NCK2	1",0.1
ATN1,"SYVN1	1",0.1
ATN1,"MEGF11	1",0.1
ATN1,"RHOXF2	1",0.1
ATN1,"PRRC2B	1",0.1
ATN1,"EFCAB4B	1",0.1
ATN1,"CHRD	1",0.1
ATN1,"CBFA2T2	1",0.1
ATP1A1,"CFL1	1",0.1
ATP1A1,"MAPK3	1",0.1
ATP1A1,"FXYD2	1",0.1
ATP1A1,"FXYD1	1",0.1
ATP1A1,"TPT1	1",0.1
ATP1A2,"TPT1	1",0.1
ATP1B1,"FXYD1	1",0.1
ATP1B2,"NGB	1",0.1
ATR,"FLT1	1",0.1
ATR,"E2F1	1",0.1
AVP,"OXTR	1",0.1
AVPR1A,"PRKCA	1",0.1
AXL,"GRB2	1",0.1
BAG1,"PDGFRB	1",0.1
BAG1,"RB1	1",0.1
BAG6,"PRPF40A	1",0.1
BAG6,"ZFYVE9	1",0.1
BCAT1,"SMAD5	1",0.1
BCHE,"COLQ	1",0.1
BCR,"YWHAB	1",0.1
BCR,"YWHAG	1",0.1
BCR,"YWHAH	1",0.1
BCR,"SFN	1",0.1
BCR,"YWHAE	1",0.1
BCR,"GRB2	1",0.1
BGN,"PLA2G1B	1",0.1
BICD1,"RAB6A	1",0.1
BIN1,"SOS1	1",0.1
BIN1,"MYC	1",0.1
BLK,"CBL	1",0.1
BLM,"RAD51	1",0.1
BLM,"RPA1	1",0.1
BLM,"SUMO2	1",0.1
BLM,"SUMO3	1",0.1
BMP4,"ZFYVE9	1",0.1
BMPR2,"PRKCB	1",0.1
BMPR2,"MOS	1",0.1
BMX,"ITK	1",0.1
BMX,"SRC	1",0.1
BRCA2,"RAD51	1",0.1
BSG,"SLC2A4	1",0.1
BTK,"VAV1	1",0.1
BTK,"LYN	1",0.1
BTK,"CBL	1",0.1
BTK,"PRKCB	1",0.1
BTK,"ITK	1",0.1
BTK,"PRKCZ	1",0.1
BTK,"PRKCQ	1",0.1
BTK,"PRKCE	1",0.1
BTK,"PRKCA	1",0.1
C1QBP,"MAPK1	1",0.1
C1QBP,"PRKCA	1",0.1
C1QBP,"PRKCD	1",0.1
C3,"LRP1	1",0.1
C4BPA,"LRP1	1",0.1
C6,"F2	1",0.1
C7,"PLG	1",0.1
C7,"CLU	1",0.1
C8A,"CD59	1",0.1
C9,"CD59	1",0.1
CA2,"SLC9A1	1",0.1
CACNA1A,"SYT1	1",0.1
CAD,"MAPK1	1",0.1
CALD1,"GRB2	1",0.1
CALM1,"REL	1",0.1
CALM1,"PTPRA	1",0.1
CALM1,"FER	1",0.1
CALM1,"RRAD	1",0.1
CALM1,"RALA	1",0.1
CALM1,"RALB	1",0.1
CALM1,"DDX5	1",0.1
CALM1,"SYT1	1",0.1
CALM1,"GRM3	1",0.1
CALM1,"GRM4	1",0.1
CALM1,"KRAS	1",0.1
CALR,"LRP1	1",0.1
CAMK2A,"PDC	1",0.1
CAMK2A,"CEBPB	1",0.1
CAMK2D,"RPS18	1",0.1
CAMK2G,"RRAD	1",0.1
CAMK2G,"RYR1	1",0.1
CAMK2G,"SPR	1",0.1
CAMK2G,"LRRC7	1",0.1
CAMP,"PRTN3	1",0.1
CANX,"IFNGR1	1",0.1
CANX,"LRP1	1",0.1
CAPN3,"FLNC	1",0.1
CAPZA1,"S100A1	1",0.1
