source,target
CAV1,PTPN6
CAV1,PTPN1
CAV1,PTPRF
CAV1,RCVRN
CAV1,GRK1
CAV1,SCP2
CAV1,HRAS
CAV1,SRC
CAV2,SRC
CAV3,SLC8A1
CBFA2T3,PRKAR2A
CBL,VAV1
CBL,FGR
CBL,LYN
CBL,PLCG1
CBL,PTPN6
CBL,TYK2
CBL,ZAP70
CBL,ITK
CBL,SRC
CBL,NOTCH1
CBL,SH3KBP1
CBL,SYK
CBL,SCN5A
CBL,VAV2
CBL,NCK1
CBL,SHC1
CBL,INPPL1
CBL,SLA
CBL,PTK2B
CBL,UBE2G1
CBL,LCP2
CBL,CRKL
CBL,SPRY2
CBL,KHDRBS1
CBL,EPHB6
CBL,UBE2D2
CBL,UBE2G2
CBL,PIK3R2
CBL,UBE2L3
CBL,CD2AP
CBL,SORBS1
CBL,SLA2
CBL,PTPN22
CBL,FRS2
CBL,EIF5B
CBL,CDKL2
CBL,UBASH3B
CBLB,VAV1
CBLB,ZAP70
CCBP2,CCL3
CCBP2,CCL4
CCBP2,CCL5
CCL3,CCL4
CCL3,TGFB1
CCL5,SDC1
CCL5,CCRL1
CCL5,SDC4
CCND1,PCNA
CCND1,RB1
CCND1,SP1
CCND1,TAF1
CCND1,IFI27
CCND1,CDKN1B
CCND1,MYBL2
CCND1,PRKACA
CCND1,NCOA3
CCND1,NCOA1
CCND1,EP300
CCND1,CDK6
CCND1,AKAP8
CCND1,GSK3B
CCND1,CCNDBP1
CCND1,KAT2B
CCND1,RBX1
CCND1,THRA
CCND1,THRB
CCND1,HDAC3
CCND1,ORC4
CCND1,CUL3
CCND1,DMTF1
CCND1,HERC5
CCND1,MCM10
CCND1,NPDC1
CCNH,GTF2E2
CCNH,GTF2H1
CCNT1,MYC
CCNT2,RB1
CCR1,CCL3
CCR1,CCL4
CCR1,CCL5
CCR3,FGR
CCR3,CCL3
CCR3,CCL5
CCR4,CCL3
CCR4,CCL5
CCR5,CCL3
CCR5,CCL4
CCR5,CCL5
CCR8,CCL1
CCR8,CCL4
CD151,ITGA3
CD151,ITGB1
CD1D,TRB@
CD1D,P4HB
CD2,CD59
CD2,CD247
CD2,CD4
CD2,SP1
CD2,SH3KBP1
CD2,MXD1
CD2,CD2AP
CD2,CD2BP2
CD2,PSTPIP1
CD247,ZAP70
CD247,CD28
CD247,TRA@
CD247,TRB@
CD247,TFRC
CD247,JAK3
CD247,SHC1
CD247,SLA
CD247,LY6E
CD247,STAT5A
CD247,UNC119
CD247,STAT5B
CD247,NCR1
CD247,TRAT1
CD247,SH2B3
CD247,GAB2
CD247,TIRAP
CD247,SLA2
CD247,DOCK2
CD247,NCR3
CD27,TRAF2
CD27,TRAF3
CD27,TRAF5
CD27,SIVA1
CD27,CD70
CD28,PIK3R1
CD28,PLCG1
CD28,ITK
CD28,CD86
CD28,GRAP2
CD28,DUSP14
CD28,LRRC23
CD28,GRB2
CD36,YES1
CD36,LYN
CD36,ITGB3
CD36,THBS1
CD36,SRC
CD36,MATK
CD36,ITGA2B
CD38,FCGR3A
CD38,LCK
CD38,PECAM1
CD3D,CD8B
CD3D,CD247
CD3D,TRA@
CD3D,CD8A
CD3D,TRB@
CD3D,CD3G
CD3D,CD3E
CD3E,CD3EAP
CD3E,PIK3R1
CD3E,ZAP70
CD3E,TRB@
CD3EAP,POLR1E
CD3G,TRD@
CD3G,TRA@
CD3G,TRB@
CD4,CD44
CD4,CD38
CD4,PIK3R1
CD4,CD28
CD4,DPP4
CD4,CXCL12
CD4,CCR5
CD4,LAT
CD4,IL16
CD4,UNC119
CD4,SELL
CD4,PIP
CD4,PI4KA
CD4,CD82
CD4,HLA-DQA2
CD4,SPG21
CD4,MARCH4
CD44,SRGN
CD44,MMP7
CD44,TGFBR1
CD44,TGFBR2
CD44,VAV2
CD44,ERBB4
CD44,TIAM1
CD44,DMP1
CD44,ARHGEF1
CD44,NF2
CD47,EPB42
CD47,RHAG
CD47,THBS1
CD5,CD72
CD59,GNAI3
CD59,SRC
CD59,SLC6A8
CD59,NCR1
CD59,NCR3
CD59,SMAD4
CD7,PIK3R1
CD7,SECTM1
CD7,PI4KA
CD7,SNAP29
CD72,GRB2
CD72,PTPN6
CD72,SEMA4D
CD72,BLNK
CD81,KIT
CD81,SHC1
CD82,LRP1
CD8A,CD8B
CD8A,SRSF1
CD8A,LAT
CD8A,SREK1
CD9,CD59
CDC20,TCP1
CDC34,CUL1
CDC34,ROCK1
CDC34,UBB
CDC5L,MELK
CDC6,PCNA
CDC6,PSKH1
CDC6,MYC
CDH1,JUP
CDH1,PTPRM
CDH1,PTPRF
CDH1,RRM2
CDH5,JUP
CDH5,PTPN11
CDH5,PTPRB
CDK1,CEP55
CDK1,MYC
CDK2,POLL
CDK6,PCNA
CDK7,E2F1
CDK7,GTF2H1
CDKN1B,GRB2
CDKN1C,PCNA
CDKN2A,NCL
CDKN2A,RPS7
CDKN2A,HSP90AB1
CDKN2A,TBRG1
CDKN2A,GSPT1
CDKN2A,KIAA1984
CDKN2A,ANKRD12
CDKN2A,ZNF227
CDKN2A,PEX19
CDKN2A,ZFP91
CDKN2A,TPI1
CDKN2A,AHNAK
CDX2,UBB
CEBPB,SPI1
CEBPB,MAPK1
CEBPB,RB1
CEBPB,CCL3
CEBPB,SP1
CEBPB,MYB
CEBPB,MYC
CEBPB,ELK1
CEBPB,SRF
CEBPB,HMGA1
CEBPB,HNRNPK
CEBPB,SMAD4
CEBPB,STAT5A
CEBPB,STAT6
CEBPB,SMARCB1
CEBPB,RPS6KA1
CEBPB,SMARCC1
CEBPB,TRIM28
CEBPB,NOLC1
CEBPB,EP300
CEBPB,SMAD3
CEBPB,SMARCA4
CEBPB,MED23
CEBPB,SPIB
CEBPB,TAF9
CEBPE,MYB
CFL1,SLC2A4
CFTR,PRKCA
CFTR,PRKCE
CFTR,STX1A
CHAT,PRKCA
CHD3,TAL1
CHEK1,UBB
CHEK1,CUL1
CHEK1,CUL4A
CHGA,PLG
CHM,RAB3A
CHM,RAB6A
CHRNA1,ITGA7
CHRND,GRB2
CIITA,NFYB
CISH,PRLR
CISH,PRKCA
CISH,PRKCB
CLIP1,IQGAP1
CLIP1,CLASP2
CLK1,PTPN1
CLK2,PTPN1
CLNS1A,SNRPB
CLNS1A,EPB41L3
CLU,PON1
CLU,PRNP
CLU,TGFBR1
CLU,TGFBR2
CLU,VLDLR
CLU,LRP2
CLU,LRP8
CLU,MMP25
CNGB1,PRPH2
CNN1,PRKCE
CNTN1,PRNP
CNTN1,PTPRB
CNTN1,TNC
COL4A2,ATF7IP
COL4A5,OSM
COL4A5,SERPINE2
COL4A6,OSM
COL4A6,SERPINE2
COL6A2,ABCD3
COPA,PDGFRB
COPB1,PDGFRB
COPB1,PRKCE
CORT,SSTR1
CORT,SSTR2
CORT,SSTR3
CORT,SSTR4
CORT,SSTR5
CPB2,PLG
CPB2,F2
CREBBP,JUN
CREBBP,MECOM
CREBBP,GLI3
CREBBP,PRKCD
CREBBP,MAF
CREBBP,RXRG
CREBBP,DDX5
CREBBP,PTMA
CREBBP,MYB
CRK,GRB2
CRKL,KIT
CRKL,PIK3R1
CRKL,IFNAR1
CRKL,PDGFRA
CRKL,PTPN11
CRKL,TYK2
CRKL,SOS1
CRYAB,EPB41
CSF1R,GRB2
CSF2RA,PIK3R1
CSF3R,GRB2
CSH1,PRLR
CSNK2A1,WEE1
CSTA,EVPL
CTBP1,MECOM
CTBP1,RB1
CTBP1,ZEB1
CTBP2,MECOM
CTGF,LRP1
CTNND1,JUP
CTNND1,PTPN6
CTNND1,PTPRM
CTNND1,FER
CTSB,SLPI
CTSD,SLC2A4
CTSK,SPARC
CTSL1,SLPI
CTSS,SLPI
CTTN,GRB2
CXCR3,PF4
CYB5A,CYP1A1
CYP11A1,SMAD9
CYTH1,ARFRP1
CYTH1,CYTIP
DAB1,PLCG1
DAB1,ITGB3
DAB1,PTPN11
DAB1,LRP1
DAB2,SMURF2
DAB2,FGR
DAB2,ITGB3
DAB2,PRKCB
DAB2,PRKCD
DAB2,PRKCG
DAB2,SRC
DAG1,GRB2
DAPK1,STX1A
DAPK3,PRKCZ
DAPK3,MET
DAXX,PAX5
DCTN1,RAB6A
DCTN1,CLIP1
DDR1,PLCG1
DDR2,SRC
DDX5,PRKCA
DDX5,SMAD3
DDX5,AKAP8
DDX5,DDX17
DGCR2,SMURF2
DHX9,JUN
DHX9,PCNA
DHX9,SNRPB
DIAPH1,PKD2
DLD,SLC2A4
DLG2,KCNA4
DLG3,LPHN1
DLG4,ERBB2
DLG4,YES1
DLG4,LYN
DLG4,PTPRG
DLG4,PRKCA
DLG4,LRP1
DLG4,HTR2A
DLG4,LPHN1
DLX3,PRKCA
DMBT1,SFTPD
DNAJB2,SMAD4
DNM1,PFN2
DNM1,PRNP
DNM1,PRKCA
DNM1,SRC
DNM2,PFN1
DNMT3A,MYC
DNTT,PCNA
DOCK2,VAV1
DOK1,KIT
DOK1,ITGB3
DOK1,PTPN6
DPP4,CCL5
DRD2,GIPC1
DRD3,GRB2
DRD3,GIPC1
DRD4,GRB2
DRG1,TAL1
DSC3,JUP
DSG3,JUP
DST,SMAD9
DTNA,GFI1B
DUSP1,MAPK1
DUSP3,PDGFA
DUSP3,ZAP70
DUSP3,MAPK1
DUSP4,MAPK1
DUSP5,MAPK1
DUSP7,MAPK1
DUT,PPARA
